problem,cost_function,qubits,layers,entanglement,seed,test_accuracy,summary_path,image_path
crown,weighted_fidelity_chi,4,3,not_entangled,30,0.75950000,weighted_fidelity_chi/crown/4_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/not_entangled/3_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,1,4,not_entangled,30,0.80925000,fidelity_chi/crown/1_qubits/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/1_qubits/4_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,4,entangled,30,0.56075000,fidelity_chi/crown/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,2,4,not_entangled,30,0.68600000,fidelity_chi/crown/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,1,4,not_entangled,30,0.85825000,weighted_fidelity_chi/crown/1_qubits/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/1_qubits/4_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,4,entangled,30,0.97000000,weighted_fidelity_chi/crown/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,2,4,not_entangled,30,0.96750000,weighted_fidelity_chi/crown/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/2_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,4,4,entangled,30,0.96050000,weighted_fidelity_chi/crown/4_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/entangled/4_layers/L-BFGS-B/appendix_seed_30.png
crown,weighted_fidelity_chi,4,4,not_entangled,30,0.92475000,weighted_fidelity_chi/crown/4_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30_summary.txt,weighted_fidelity_chi/crown/4_qubits/not_entangled/4_layers/L-BFGS-B/appendix_seed_30.png
crown,fidelity_chi,1,5,not_entangled,30,0.88450000,fidelity_chi/crown/1_qubits/5_layers/L-BFGS-B/appendix_seed_30_summary.txt,fidelity_chi/crown/1_qubits/5_layers/L-BFGS-B/appendix_seed_30.png
